ID,hit,evalue,#ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Median_fold,Std_Dev,summed reads,reads/per million (RPM),lenfth of gene in KB (K),RPKM,41303704
NODE_2_length_6914_cov_37.663421_1_5231_g5,P450_16,0.14,NODE_2_length_6914_cov_37.663421_1_5231_g5,41.2941,2142,0,99.9066,2140,893,801,0.4294,30,30.11,1694,41.01327484,2.142,19.14718713,41.303704
NODE_9_length_3471_cov_229.487493_273_1661_g14,P450_35,0,NODE_9_length_3471_cov_229.487493_273_1661_g14,333.6429,1347,0,100,1347,4247,4134,0.4519,167,370,8381,202.9116036,1.347,150.6396463,
NODE_9_length_3471_cov_229.487493_1756_3313_g15,P450_35,0,NODE_9_length_3471_cov_229.487493_1756_3313_g15,338.2955,1347,0,100,1347,4345,4142,0.4519,170,377.7,8487,205.4779596,1.347,152.5448846,
NODE_11_length_3427_cov_21.865351_42_1495_g17,P450_33,0.008,NODE_11_length_3427_cov_21.865351_42_1495_g17,71.7298,1077,0,99.8143,1075,714,742,0.416,57,49.24,1456,35.2510792,1.077,32.73080706,
NODE_12_length_3420_cov_67.775317_1_3420_g19,20DD_coca-20110131_6097,0.11,NODE_12_length_3420_cov_67.775317_1_3420_g19,140.2597,1540,0,99.9351,1539,2125,2078,0.5128,138,87.72,4203,101.7584381,1.54,66.07690786,
NODE_13_length_3413_cov_9.221302_1611_3351_g21,EcAOF_candidate_7_coca-20110131_2982,0.09,NODE_13_length_3413_cov_9.221302_1611_3351_g21,35.213,1554,0,100,1554,542,506,0.4485,25,31.72,1048,25.37302953,1.554,16.32756083,
NODE_23_length_3168_cov_39.081021_168_3159_g35,P450_39,0.15,NODE_23_length_3168_cov_39.081021_168_3159_g35,95.7476,2211,0,100,2211,2213,1790,0.4554,64,82.09,4003,96.9162569,2.211,43.83367567,
NODE_28_length_3104_cov_108.208401_305_2511_g40,EcAOC_candidate_3_NODE_287_length_2514_cov_36.770254,0,NODE_28_length_3104_cov_108.208401_305_2511_g40,345.3022,2022,0,100,2022,7252,6010,0.4855,201,360.5,13262,321.085036,2.022,158.7957646,
NODE_36_length_2892_cov_43.362364_1_2831_g50,P450_10,0.23,NODE_36_length_2892_cov_43.362364_1_2831_g50,109.4642,2684,0,99.9627,2683,3293,2493,0.4487,60,145.11,5786,140.0843024,2.684,52.19236303,
NODE_41_length_2856_cov_61.015586_1_2796_g56,EcAOF_candidate_7_coca-20110131_2982,0.091,NODE_41_length_2856_cov_61.015586_1_2796_g56,146.0181,2427,0,100,2427,3609,3217,0.4468,111,122.07,6826,165.2636447,2.427,68.09379673,
NODE_58_length_2669_cov_17.669954_1_2575_g76,20DD_coca-20110131_6665,0.27,NODE_58_length_2669_cov_17.669954_1_2575_g76,39.9444,2304,0,100,2304,1058,738,0.4683,25,41.04,1796,43.48278726,2.304,18.87273752,
NODE_66_length_2640_cov_277.507096_20_2496_g84,struc_arginine_decarboxylase_AEQ02349,0,NODE_66_length_2640_cov_277.507096_20_2496_g84,779.0969,2157,0,100,2157,15267,16171,0.5133,521,823.67,31438,761.1424642,2.157,352.8708689,
NODE_68_length_2629_cov_108.370185_40_2356_g86,Polyketide_NODE_17446_length_416_cov_17.443864,0.38,NODE_68_length_2629_cov_108.370185_40_2356_g86,196.9951,1839,0,100,1839,3626,3157,0.4528,179,118.98,6783,164.2225757,1.839,89.29993241,
NODE_69_length_2602_cov_40.852083_2_2549_g87,20DD_coca-20110131_3904,0.083,NODE_69_length_2602_cov_40.852083_2_2549_g87,103.0447,2373,0,100,2373,2501,2096,0.4502,45,129.7,4597,111.2975351,2.373,46.90161613,
NODE_72_length_2584_cov_59.171697_1_2487_g92,P450_25,0.042,NODE_72_length_2584_cov_59.171697_1_2487_g92,125.4099,2130,0,99.2019,2113,3150,1908,0.46,90,141.92,5058,122.4587628,2.13,57.49237689,
NODE_75_length_2578_cov_80.173674_151_2531_g95,P450_32,0.055,NODE_75_length_2578_cov_80.173674_151_2531_g95,217.2678,2244,0,99.9554,2243,4880,4348,0.4658,164,197.78,9228,223.418241,2.244,99.56249598,
NODE_88_length_2522_cov_39.306549_1_2510_g110,EcAOF1_USDA_NODE_2268_length_1622_cov_42.446193,0.037,NODE_88_length_2522_cov_39.306549_1_2510_g110,89.4569,2274,0,100,2274,2225,1662,0.4457,43,122.26,3887,94.1077918,2.274,41.38425321,
NODE_107_length_2454_cov_25.939281_197_2401_g129,struc_ornithine_decarboxylase_AEQ02350,0.16,NODE_107_length_2454_cov_25.939281_197_2401_g129,72.8469,1914,0,99.8955,1912,1413,1271,0.4467,36,80.04,2684,64.98207182,1.914,33.95092572,
NODE_117_length_2418_cov_26.505241_1_2418_g140,20DD_Contig_8162,0.099,NODE_117_length_2418_cov_26.505241_1_2418_g140,74.7206,2008,0,99.9502,2007,1381,1433,0.4675,57,61.29,2814,68.12948961,2.008,33.92902869,
NODE_127_length_2396_cov_9.976725_41_2344_g150,P450_7,0.035,NODE_127_length_2396_cov_9.976725_41_2344_g150,21.0552,2028,0,99.7041,2022,461,370,0.4454,18,13.44,831,20.11926292,2.028,9.920741086,
NODE_130_length_2386_cov_11.921120_977_2386_g154,20DD_coca-20110131_6665,0.01,NODE_130_length_2386_cov_11.921120_977_2386_g154,17.0975,985,0,99.4924,980,175,154,0.4564,11,14.43,329,7.965388089,0.985,8.086688415,
NODE_131_length_2387_cov_17.263381_1_2387_g155,20DD_B9GL08_POPTR,0.23,NODE_131_length_2387_cov_17.263381_1_2387_g155,40.9361,2127,0,100,2127,973,710,0.4093,18,69.3,1683,40.74695487,2.127,19.15700746,
NODE_146_length_2332_cov_10.557634_1_2269_g171,20DD_Contig_5105,0.088,NODE_146_length_2332_cov_10.557634_1_2269_g171,24.8237,1821,0,100,1821,470,405,0.4777,17,21.32,875,21.18454279,1.821,11.63346666,
NODE_166_length_2280_cov_14.973298_1_2280_g193,P450_32,0.011,NODE_166_length_2280_cov_14.973298_1_2280_g193,36.3312,1908,0,99.7379,1903,803,559,0.4176,21,34.88,1362,32.97525403,1.908,17.2826279,
NODE_185_length_2235_cov_42.449137_1_2048_g214,struc_EcCHS,0.14,NODE_185_length_2235_cov_42.449137_1_2048_g214,113.0757,1571,0,100,1571,1665,1683,0.5028,66,113.63,3348,81.05811344,1.571,51.5965076,
NODE_190_length_2226_cov_27.405381_91_2151_g219,EcAOC_candidate_2_NODE_477_length_2287_cov_125.778616,0.11,NODE_190_length_2226_cov_27.405381_91_2151_g219,68.7824,1659,0,99.9397,1658,1123,1086,0.5356,53,53.09,2209,53.48189145,1.659,32.23742704,
NODE_191_length_2220_cov_32.510288_5_2174_g220,EcAOC_candidate_2_NODE_477_length_2287_cov_125.778616,0,NODE_191_length_2220_cov_32.510288_5_2174_g220,83.2384,1980,0,99.9495,1979,1756,1388,0.4679,49,86.52,3144,76.1190886,1.98,38.44398414,
NODE_199_length_2200_cov_27.079834_399_2112_g230,P450_16,0.067,NODE_199_length_2200_cov_27.079834_399_2112_g230,82.1439,1578,0,100,1578,1363,1140,0.4359,54,76.25,2503,60.59989783,1.578,38.40297708,
NODE_200_length_2199_cov_25.778393_90_2061_g231,EcAOF_candidate_7_coca-20110131_2982,0.005,NODE_200_length_2199_cov_25.778393_90_2061_g231,74.7764,1722,0,100,1722,1323,1110,0.4392,57,63.93,2433,58.90513441,1.722,34.20739513,
NODE_208_length_2185_cov_13.133829_2_1523_g240,struc_EcCHS,5.00E-09,NODE_208_length_2185_cov_13.133829_2_1523_g240,34.4497,1203,0,99.8337,1201,475,318,0.4502,27,30.06,793,19.19924849,1.203,15.95947506,
NODE_209_length_2184_cov_17.705253_1_2180_g242,P450_12,0.067,NODE_209_length_2184_cov_17.705253_1_2180_g242,42.9411,1934,0,100,1934,893,684,0.4262,24,59,1577,38.18059883,1.934,19.74177809,
NODE_213_length_2174_cov_49.098085_1_2121_g247,struc_EcSPMT,0.01,NODE_213_length_2174_cov_49.098085_1_2121_g247,119.9553,1788,0,100,1788,2181,1851,0.4755,74,145.78,4032,97.61837317,1.788,54.59640558,
NODE_229_length_2146_cov_12.520114_9_2026_g263,P450_42,0.017,NODE_229_length_2146_cov_12.520114_9_2026_g263,31.469,1953,0,99.7952,1949,693,524,0.4243,21,29.56,1217,29.46467266,1.953,15.08687796,
NODE_245_length_2129_cov_10.968989_1_2071_g279,20DD_coca-20110131_11729,0.001,NODE_245_length_2129_cov_10.968989_1_2071_g279,29.0325,1906,0,100,1906,591,500,0.4644,22,23.57,1091,26.41409849,1.906,13.85839375,
NODE_257_length_2108_cov_14.091566_14_2108_g294,20DD_NODE_3153_length_1468_cov_32.325436,0.19,NODE_257_length_2108_cov_14.091566_14_2108_g294,36.4782,1719,0,99.4764,1710,722,548,0.4447,33,22.9,1270,30.74785068,1.719,17.88705682,
NODE_268_length_2092_cov_22.682856_1_1951_g306,P450_8,0.5,NODE_268_length_2092_cov_22.682856_1_1951_g306,59.5194,1594,0,100,1594,1086,720,0.4558,40,56.78,1806,43.72489632,1.594,27.43092617,
NODE_289_length_2059_cov_18.328233_96_1941_g330,struc_EcSPMT,0.16,NODE_289_length_2059_cov_18.328233_96_1941_g330,48.5572,1791,0,99.3858,1780,944,732,0.4303,43,31.3,1676,40.57747853,1.791,22.65632525,
NODE_293_length_2056_cov_26.023727_1_2041_g334,20DD_Contig_1266,0.02,NODE_293_length_2056_cov_26.023727_1_2041_g334,65.8027,1673,0,99.9402,1672,1111,970,0.4462,39,78.39,2081,50.38289548,1.673,30.11529915,
NODE_301_length_2050_cov_22.334160_1_1991_g342,P450_12,0.018,NODE_301_length_2050_cov_22.334160_1_1991_g342,61.475,1737,0,99.4819,1728,1075,969,0.4309,26,86.24,2044,49.48709196,1.737,28.4899781,
NODE_312_length_2039_cov_13.246261_6_1761_g353,EcAOF1_USDA_NODE_2268_length_1622_cov_42.446193,0,NODE_312_length_2039_cov_13.246261_6_1761_g353,36.1321,1476,0,99.9322,1475,601,416,0.446,27,29.31,1017,24.62249145,1.476,16.68190477,
NODE_322_length_2028_cov_52.222055_1_1551_g364,P450_19,0.007,NODE_322_length_2028_cov_52.222055_1_1551_g364,144.5258,1164,0,100,1164,2112,1047,0.4664,82,192.93,3159,76.4822522,1.164,65.70640223,
NODE_324_length_2025_cov_8.800703_1_1921_g367,20DD_coca-20110131_14092,0.052,NODE_324_length_2025_cov_8.800703_1_1921_g367,23.1586,1482,0,99.9325,1481,374,288,0.4268,21,13.08,662,16.0276198,1.482,10.81485817,
NODE_325_length_2023_cov_8.346231_1_2023_g368,P450_17,0.024,NODE_325_length_2023_cov_8.346231_1_2023_g368,17.4664,1458,0,99.7257,1454,312,249,0.4682,13,14.79,561,13.58231829,1.458,9.315718993,
NODE_328_length_2021_cov_9.640342_1_1905_g371,20DD_Contig_5105,0.11,NODE_328_length_2021_cov_9.640342_1_1905_g371,25.763,1810,0,99.8895,1808,475,427,0.4359,18,24.49,902,21.83823725,1.81,12.06532445,
NODE_344_length_2004_cov_16.794521_16_1860_g388,20DD_coca-20110131_11584,0.087,NODE_344_length_2004_cov_16.794521_16_1860_g388,42.7638,1740,0,100,1740,814,624,0.436,24,42.82,1438,34.81528289,1.74,20.00878327,
NODE_345_length_2003_cov_39.285279_83_2003_g389,P450_30,0.15,NODE_345_length_2003_cov_39.285279_83_2003_g389,106.4694,1570,0,100,1570,1757,1387,0.462,88,79.53,3144,76.1190886,1.57,48.48349593,
NODE_349_length_1997_cov_14.012220_159_1650_g393,struc_cocaine_synthase_AGT56097,5.00E-42,NODE_349_length_1997_cov_14.012220_159_1650_g393,33.6802,1260,0,98.7302,1244,431,373,0.4547,29,23.51,804,19.46556846,1.26,15.44886386,
NODE_351_length_1997_cov_8.159878_1_1922_g395,20DD_coca-20110131_14092,0.064,NODE_351_length_1997_cov_8.159878_1_1922_g395,21.9629,1833,0,99.9454,1832,392,392,0.4163,20,14.28,784,18.98135034,1.833,10.35534661,
NODE_359_length_1991_cov_4.944331_1_1982_g403,P450_11,0.14,NODE_359_length_1991_cov_4.944331_1_1982_g403,14.1287,1624,0,98.5222,1600,304,233,0.4642,12,9.66,537,13.00125655,1.624,8.005699844,
NODE_367_length_1985_cov_8.998463_1_1985_g410,P450_25,0.017,NODE_367_length_1985_cov_8.998463_1_1985_g410,21.8037,1686,0,99.9407,1685,398,342,0.462,15,22.5,740,17.91607047,1.686,10.62637632,
NODE_381_length_1974_cov_42.297269_20_1914_g425,P450_28,0.095,NODE_381_length_1974_cov_42.297269_20_1914_g425,97.8048,1788,0,99.8322,1785,1970,1353,0.4368,62,117.95,3323,80.45284079,1.788,44.99599597,
NODE_382_length_1971_cov_28.707430_1_1256_g426,pathway_EcSPMT,0,NODE_382_length_1971_cov_28.707430_1_1256_g426,100.5602,1155,0,100,1155,1331,1214,0.4587,80,75.69,2545,61.61675588,1.155,53.34784059,
NODE_385_length_1968_cov_20.436693_29_1937_g430,P450_33,0.063,NODE_385_length_1968_cov_20.436693_29_1937_g430,54.8691,1566,0,98.212,1538,1048,734,0.4355,31,58.43,1782,43.14383457,1.566,27.55034136,
NODE_393_length_1960_cov_19.061754_10_1647_g440,P450_10,0.035,NODE_393_length_1960_cov_19.061754_10_1647_g440,47.0117,1539,0,99.6751,1534,902,638,0.4995,29,49.75,1540,37.28479531,1.539,24.22663763,
NODE_409_length_1946_cov_7.527967_1_969_g457,20DD_coca-20110131_12600,0.027,NODE_409_length_1946_cov_7.527967_1_969_g457,20.3246,536,0,99.6269,534,163,94,0.4877,16,14.35,257,6.222202853,0.536,11.60858741,
NODE_414_length_1941_cov_31.450734_1_1941_g463,20DD_coca-20110131_12600,0.074,NODE_414_length_1941_cov_31.450734_1_1941_g463,75.5974,1592,0,99.8744,1590,1444,878,0.4853,41,104.17,2322,56.21772384,1.592,35.3126406,
NODE_417_length_1940_cov_25.048243_1_1922_g466,EcAOC1,0.009,NODE_417_length_1940_cov_25.048243_1_1922_g466,55.2678,1572,0,100,1572,949,685,0.4379,34,54.46,1634,39.56062048,1.572,25.16578911,
NODE_419_length_1938_cov_12.899213_1_1882_g468,20DD_coca-20110131_12600,0.17,NODE_419_length_1938_cov_12.899213_1_1882_g468,31.0272,1399,0,98.4989,1378,473,374,0.4343,24,29.95,847,20.50663742,1.399,14.65806821,
NODE_424_length_1931_cov_126.225501_85_1861_g474,20DD_coca-20110131_11584,0.049,NODE_424_length_1931_cov_126.225501_85_1861_g474,347.9808,1611,0,100,1611,5736,4792,0.4917,260,308.27,10528,254.8924188,1.611,158.2199993,
NODE_427_length_1930_cov_15.112283_1_1738_g477,P450_6,0,NODE_427_length_1930_cov_15.112283_1_1738_g477,38.0192,1512,0,99.9339,1511,670,455,0.428,23,35.16,1125,27.2372693,1.512,18.014067,
NODE_437_length_1927_cov_29.347941_119_1927_g489,20DD_coca-20110131_11729,0.12,NODE_437_length_1927_cov_29.347941_119_1927_g489,72.2199,1719,0,99.2437,1706,1258,1086,0.4257,36,81.54,2344,56.75036377,1.719,33.01359149,
NODE_439_length_1925_cov_70.304968_1_1925_g491,P450_23,0.12,NODE_439_length_1925_cov_70.304968_1_1925_g491,194.3233,1757,0,99.2601,1744,3330,3086,0.4466,135,231.95,6416,155.3371732,1.757,88.41045713,
NODE_454_length_1911_cov_23.333333_405_1756_g507,struc_arginine_decarboxylase_AEQ02349,0.017,NODE_454_length_1911_cov_23.333333_405_1756_g507,76.5818,1107,0,100,1107,860,742,0.418,49,68.59,1602,38.78587148,1.107,35.03692094,
NODE_462_length_1905_cov_65.850962_44_1905_g516,P450_8,0.27,NODE_462_length_1905_cov_65.850962_44_1905_g516,200.056,1697,0,100,1697,3560,2807,0.4886,139,161,6367,154.1508388,1.697,90.83726505,
NODE_469_length_1896_cov_16.794954_1_1896_g523,P450_27,0.055,NODE_469_length_1896_cov_16.794954_1_1896_g523,36.2186,1789,0,100,1789,780,467,0.4721,24,49.57,1247,30.19099984,1.789,16.87590824,
NODE_490_length_1881_cov_54.281385_102_1880_g544,P450_45,0,NODE_490_length_1881_cov_54.281385_102_1880_g544,142.9315,1518,0,100,1518,2225,1827,0.4782,100,129.54,4052,98.10259129,1.518,64.62621297,
NODE_497_length_1878_cov_14.036856_262_1791_g551,P450_47,0.12,NODE_497_length_1878_cov_14.036856_262_1791_g551,35.5747,1392,0,100,1392,591,369,0.523,22,34.05,960,23.2424698,1.392,16.69717658,
NODE_503_length_1875_cov_22.172096_1_1821_g558,EcAOF1_USDA_NODE_2268_length_1622_cov_42.446193,2.00E-05,NODE_503_length_1875_cov_22.172096_1_1821_g558,60.4801,1608,0,100,1608,981,872,0.4744,58,37.48,1853,44.8628089,1.608,27.89975678,
NODE_509_length_1872_cov_64.103861_156_1851_g566,P450_29,0,NODE_509_length_1872_cov_64.103861_156_1851_g566,163.5352,1506,0,99.9336,1505,2773,1884,0.494,116,161.51,4657,112.7501895,1.506,74.86732367,
NODE_523_length_1865_cov_51.805677_236_1731_g580,P450_19,0.017,NODE_523_length_1865_cov_51.805677_236_1731_g580,123.931,1464,0,100,1464,2133,1275,0.4564,42,217.86,3408,82.5107678,1.464,56.35981407,
NODE_526_length_1862_cov_124.787315_1_1741_g584,P450_35,0.06,NODE_526_length_1862_cov_124.787315_1_1741_g584,304.3172,1422,0,100,1422,4918,3188,0.4495,223,274.33,8106,196.2536044,1.422,138.01238,
NODE_535_length_1857_cov_13.495614_1_1811_g593,P450_12,0.006,NODE_535_length_1857_cov_13.495614_1_1811_g593,34.1795,1593,0,98.3051,1566,575,468,0.4469,28,24.38,1043,25.251975,1.593,15.85183616,
NODE_542_length_1853_cov_70.506044_1_1521_g601,P450_10,0,NODE_542_length_1853_cov_70.506044_1_1521_g601,137.6915,1449,0,99.931,1448,2174,1583,0.4256,99,121.14,3757,90.96037401,1.449,62.77458524,
NODE_568_length_1839_cov_60.016058_1_1839_g627,P450_19,0,NODE_568_length_1839_cov_60.016058_1_1839_g627,141.4965,1585,0,100,1585,2475,1728,0.4528,85,152.79,4203,101.7584381,1.585,64.20090732,
NODE_579_length_1834_cov_31.203220_1_1834_g638,P450_39,0,NODE_579_length_1834_cov_31.203220_1_1834_g638,83.9679,1497,0,100,1497,1345,1030,0.4681,57,71.82,2375,57.50090186,1.497,38.41075608,
NODE_580_length_1834_cov_20.931149_1_1803_g639,P450_9,4.00E-31,NODE_580_length_1834_cov_20.931149_1_1803_g639,53.5889,1620,0,100,1620,908,748,0.456,32,46.55,1656,40.09326041,1.62,24.74892618,
NODE_589_length_1830_cov_10.968280_24_1826_g648,20DD_Contig_6161,0.071,NODE_589_length_1830_cov_10.968280_24_1826_g648,22.4431,1485,0,99.5286,1478,403,258,0.4571,16,21.23,661,16.0034089,1.485,10.77670633,
NODE_599_length_1826_cov_12.787507_96_1822_g659,P450_7,0,NODE_599_length_1826_cov_12.787507_96_1822_g659,34.3313,1467,0,99.9318,1466,499,454,0.4073,24,30.1,953,23.07299346,1.467,15.7280119,
NODE_602_length_1825_cov_11.459263_1_1116_g662,20DD_Contig_8162,0.04,NODE_602_length_1825_cov_11.459263_1_1116_g662,39.6482,975,0,100,975,433,306,0.4025,32,32,739,17.89185957,0.975,18.3506252,
NODE_625_length_1813_cov_22.719663_18_1740_g687,P450_42,0,NODE_625_length_1813_cov_22.719663_18_1740_g687,68.6341,1506,0,99.9336,1505,1052,891,0.4442,40,77.39,1943,47.04179044,1.506,31.23624864,
NODE_627_length_1812_cov_53.109050_149_1741_g689,P450_43,0,NODE_627_length_1812_cov_53.109050_149_1741_g689,143.9477,1530,0,100,1530,2197,1943,0.4447,120,103.49,4140,100.233151,1.53,65.51186342,
NODE_632_length_1809_cov_6.651464_3_1705_g694,20DD_coca-20110131_7365,0.1,NODE_632_length_1809_cov_6.651464_3_1705_g694,16.4949,1362,0,99.9266,1361,234,196,0.4046,14,10.82,430,10.4106896,1.362,7.64367812,
NODE_634_length_1807_cov_14.754791_55_1761_g696,P450_38,8.00E-09,NODE_634_length_1807_cov_14.754791_55_1761_g696,38.6527,1575,0,99.873,1573,675,594,0.5151,25,36.05,1269,30.72363977,1.575,19.50707287,
NODE_638_length_1805_cov_16.823363_14_1751_g701,P450_17,0,NODE_638_length_1805_cov_16.823363_14_1751_g701,50.6119,1314,0,99.0868,1302,662,599,0.4709,36,48.71,1261,30.52995252,1.314,23.23436265,
NODE_650_length_1799_cov_66.601359_56_1788_g713,20DD_NODE_3246_length_1452_cov_25.390416,0.17,NODE_650_length_1799_cov_66.601359_56_1788_g713,163.4526,1476,0,100,1476,2660,1866,0.4418,94,149.26,4526,109.5785608,1.476,74.24021732,
NODE_651_length_1799_cov_31.232729_23_1753_g714,P450_24,0,NODE_651_length_1799_cov_31.232729_23_1753_g714,79.7365,1518,0,99.8682,1516,1308,990,0.4233,53,73.95,2298,55.63666209,1.518,36.65129255,
NODE_664_length_1794_cov_33.584327_38_1627_g726,Polyketide_NODE_11256_length_732_cov_72.616595,0.22,NODE_664_length_1794_cov_33.584327_38_1627_g726,69.3768,1311,0,99.9237,1310,927,791,0.4362,47,64.58,1718,41.59433658,1.311,31.72718275,
NODE_672_length_1789_cov_66.421412_151_1711_g734,struc_cocaine_synthase_AGT56097,4.00E-32,NODE_672_length_1789_cov_66.421412_151_1711_g734,186.5746,1293,0,100,1293,2534,2118,0.5607,101,190.38,4652,112.6291349,1.293,87.10683288,
NODE_673_length_1789_cov_37.111048_76_1789_g735,P450_44,2.00E-82,NODE_673_length_1789_cov_37.111048_76_1789_g735,87.459,1512,0,100,1512,1473,1026,0.5091,60,85.14,2499,60.50305421,1.512,40.01524749,
NODE_675_length_1788_cov_25.829630_1_1788_g737,20DD_Contig_5105,0.22,NODE_675_length_1788_cov_25.829630_1_1788_g737,63.9772,1581,0,99.9367,1580,1076,824,0.4492,31,84.51,1900,46.00072149,1.581,29.09596552,
NODE_691_length_1780_cov_17.095020_1_1780_g753,EcAOF1_USDA_NODE_2268_length_1622_cov_42.446193,2.00E-08,NODE_691_length_1780_cov_17.095020_1_1780_g753,43.1038,1561,0,100,1561,672,602,0.4301,40,25.46,1274,30.8446943,1.561,19.75957354,
NODE_704_length_1773_cov_92.435632_72_1611_g767,P450_32,0,NODE_704_length_1773_cov_92.435632_72_1611_g767,226.3036,1347,0,100,1347,3312,2412,0.4508,191,157.87,5724,138.5832262,1.347,102.8828702,
NODE_705_length_1770_cov_42.526770_1_1671_g768,P450_27,0,NODE_705_length_1770_cov_42.526770_1_1671_g768,109.8593,1365,0,99.8535,1363,1584,1222,0.4725,77,100.93,2806,67.93580236,1.365,49.76981858,
NODE_715_length_1763_cov_24.778613_1_1691_g778,EcAOF1_USDA_NODE_2268_length_1622_cov_42.446193,0.085,NODE_715_length_1763_cov_24.778613_1_1691_g778,65.84,1500,0,99.5333,1493,1073,839,0.4191,35,67.87,1912,46.29125236,1.5,30.86083491,
NODE_716_length_1761_cov_34.857060_45_1761_g779,P450_1,0.012,NODE_716_length_1761_cov_34.857060_45_1761_g779,94.2922,1629,0,99.6317,1623,1480,1428,0.4701,90,50.62,2908,70.40531478,1.629,43.21995996,
NODE_718_length_1760_cov_24.427910_1_1681_g781,P450_44,3.00E-31,NODE_718_length_1760_cov_24.427910_1_1681_g781,66.8746,1443,0,99.5842,1437,986,852,0.4536,47,60.41,1838,44.49964531,1.443,30.83828504,
NODE_729_length_1755_cov_17.062718_23_1560_g793,struc_EcSMT,0.15,NODE_729_length_1755_cov_17.062718_23_1560_g793,40.9104,1350,0,99.8519,1348,521,590,0.4333,28,35.51,1111,26.89831662,1.35,19.92467897,
NODE_740_length_1750_cov_14.886430_1_1676_g804,P450_31,0.068,NODE_740_length_1750_cov_14.886430_1_1676_g804,44.3196,1311,0,99.7712,1308,643,517,0.4955,17,69.18,1160,28.08465101,1.311,21.42231198,
NODE_758_length_1744_cov_9.695500_1_1744_g823,20DD_NODE_6231_length_1113_cov_7.380556,0.073,NODE_758_length_1744_cov_9.695500_1_1744_g823,23.7123,1404,0,100,1404,429,287,0.4354,17,18.32,716,17.33500873,1.404,12.34687231,
NODE_759_length_1744_cov_3.784337_1_1625_g824,EcAOF1_USDA_NODE_2268_length_1622_cov_42.446193,0.031,NODE_759_length_1744_cov_3.784337_1_1625_g824,13.4145,1204,0,99.0864,1193,352,143,0.48,10,21.72,495,11.98439849,1.204,9.953819346,
NODE_764_length_1741_cov_12.728337_1_1694_g829,20DD_coca-20110131_3935,0.082,NODE_764_length_1741_cov_12.728337_1_1694_g829,34.6792,1406,0,100,1406,513,413,0.4562,26,24.39,926,22.419299,1.406,15.94544737,
NODE_770_length_1738_cov_13.609971_1_1691_g835,20DD_Contig_8162,0.1,NODE_770_length_1738_cov_13.609971_1_1691_g835,29.9059,1254,0,99.9203,1253,412,313,0.4428,19,29.68,725,17.55290688,1.254,13.9975334,
NODE_774_length_1734_cov_8.954759_1_1637_g839,20DD_coca-20110131_10349,0.13,NODE_774_length_1734_cov_8.954759_1_1637_g839,24.2112,1487,0,99.7983,1484,373,325,0.44,19,17.92,698,16.89921242,1.487,11.36463512,
NODE_780_length_1733_cov_17.112941_6_1556_g845,struc_cocaine_synthase_AGT56097,8.00E-26,NODE_780_length_1733_cov_17.112941_6_1556_g845,51.3032,1296,0,99.8457,1294,706,582,0.5013,46,27.16,1288,31.18364699,1.296,24.06145601,
NODE_788_length_1731_cov_11.963486_1_1541_g853,P450_18,0.049,NODE_788_length_1731_cov_11.963486_1_1541_g853,34.9265,1116,0,97.1326,1084,371,384,0.4223,25,27,755,18.27923406,1.116,16.37924199,
NODE_789_length_1730_cov_83.114909_143_1621_g854,P450_23,0,NODE_789_length_1730_cov_83.114909_143_1621_g854,239.7518,1362,0,99.9266,1361,2782,3309,0.4566,173,206.52,6091,147.4686287,1.362,108.2735894,
NODE_827_length_1714_cov_11.543724_1_1714_g893,20DD_coca-20110131_6665,0.091,NODE_827_length_1714_cov_11.543724_1_1714_g893,22.8594,1287,0,96.9697,1248,308,294,0.468,21,13.4,602,14.57496544,1.287,11.32475947,
NODE_834_length_1712_cov_15.777844_342_1712_g900,struc_EcSPMT,0.12,NODE_834_length_1712_cov_15.777844_342_1712_g900,40.0758,1227,0,100,1227,504,433,0.4541,23,39.25,937,22.68561896,1.227,18.48868701,
NODE_846_length_1707_cov_11.548984_1_1641_g911,P450_7,0.01,NODE_846_length_1707_cov_11.548984_1_1641_g911,31.5083,1206,0,99.8342,1204,549,323,0.465,28,21.31,872,21.11191007,1.206,17.50572974,
NODE_848_length_1707_cov_7.432497_1_1707_g913,P450_20,0,NODE_848_length_1707_cov_7.432497_1_1707_g913,18.8391,1560,0,99.9359,1559,318,347,0.4448,14,13.47,665,16.10025252,1.56,10.32067469,
NODE_871_length_1693_cov_81.239759_91_1591_g937,P450_22,0,NODE_871_length_1693_cov_81.239759_91_1591_g937,221.6535,1365,0,100,1365,2527,3124,0.4654,203,114.8,5651,136.8158301,1.365,100.2313773,
NODE_880_length_1688_cov_17.252568_1_1688_g946,P450_24,0.11,NODE_880_length_1688_cov_17.252568_1_1688_g946,49.5061,1399,0,99.7141,1395,802,612,0.4643,34,46.18,1414,34.23422115,1.399,24.47049403,
NODE_884_length_1686_cov_38.013914_1_1621_g950,struc_cocaine_synthase_AGT56097,3.00E-23,NODE_884_length_1686_cov_38.013914_1_1621_g950,104.9183,1371,0,99.8541,1369,1484,1253,0.5318,91,68.19,2737,66.26524984,1.371,48.33351557,
NODE_898_length_1682_cov_24.098241_16_1610_g965,20DD_NODE_3246_length_1452_cov_25.390416,0.16,NODE_898_length_1682_cov_24.098241_16_1610_g965,71.7856,1446,0,99.9308,1445,1075,919,0.4473,45,78.05,1994,48.27654665,1.446,33.38627016,
