ID,hit,evalue,#ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Median_fold,Std_Dev,summed reads,reads/per million (RPM),lenfth of gene in KB (K),RPKM,22969636
NODE_2_length_3366_cov_73.538854_1_2941_g3,20DD_coca-20110131_6097,0.11,NODE_2_length_3366_cov_73.538854_1_2941_g3,135.0407,1547,0,98.3193,1521,1791,2096,0.5142,121,85.35,3887,169.2233749,1.547,109.3880898,22.969636
NODE_4_length_2688_cov_108.966855_1_2640_g6,P450_30,0,NODE_4_length_2688_cov_108.966855_1_2640_g6,221.9514,2141,0,99.6263,2133,5286,3532,0.4931,111,280.33,8818,383.8980498,2.141,179.3078233,
NODE_18_length_2096_cov_77.194862_39_1861_g22,20DD_coca-20110131_27652,0.15,NODE_18_length_2096_cov_77.194862_39_1861_g22,210.1505,1515,0,100,1515,3552,2355,0.4869,168,203.24,5907,257.1655455,1.515,169.7462346,
NODE_21_length_2057_cov_9.522727_204_2057_g25,20DD_coca-20110131_3983,0.22,NODE_21_length_2057_cov_9.522727_204_2057_g25,25.0366,1829,0,99.5079,1820,445,403,0.5162,24,11.3,848,36.91829737,1.829,20.18496302,
NODE_32_length_1973_cov_47.994845_1_1973_g36,EcAOC_candidate_3_NODE_287_length_2514_cov_36.770254,0,NODE_32_length_1973_cov_47.994845_1_1973_g36,132.3969,1973,0,100,1973,2756,2087,0.4809,78,124.57,4843,210.8435309,1.973,106.8644353,
NODE_33_length_1973_cov_21.293299_7_1931_g37,P450_42,0.35,NODE_33_length_1973_cov_21.293299_7_1931_g37,58.4916,1782,0,98.3726,1753,1029,902,0.4444,38,60.52,1931,84.06749083,1.782,47.17592078,
NODE_34_length_1968_cov_99.888372_996_1968_g39,struc_EcSABATH1,0,NODE_34_length_1968_cov_99.888372_996_1968_g39,324.4122,905,0,100,905,3555,1896,0.4424,175,399.96,5451,237.3132535,0.905,262.2245895,
NODE_38_length_1931_cov_42.192835_15_1931_g43,P450_32,2,NODE_38_length_1931_cov_42.192835_15_1931_g43,108.6724,1917,0,100,1917,2641,1227,0.4482,51,241.72,3868,168.396196,1.917,87.84360773,
NODE_43_length_1890_cov_43.429187_1_1821_g49,P450_45,0,NODE_43_length_1890_cov_43.429187_1_1821_g49,120.0033,1518,0,100,1518,1743,1634,0.4781,90,83.4,3377,147.0201536,1.518,96.85122105,
NODE_56_length_1819_cov_36.587017_1_1779_g63,P450_14,0.055,NODE_56_length_1819_cov_36.587017_1_1779_g63,107.5525,1705,0,99.4135,1695,1869,1526,0.4552,64,117.24,3395,147.8037967,1.705,86.68844379,
NODE_60_length_1815_cov_17.598765_1_1763_g67,P450_42,9.00E-04,NODE_60_length_1815_cov_17.598765_1_1763_g67,44.8397,1516,0,99.8021,1513,613,648,0.4429,36,29.42,1261,54.89855305,1.516,36.21276586,
NODE_61_length_1808_cov_75.058592_15_1730_g68,20DD_coca-20110131_11584,0.04,NODE_61_length_1808_cov_75.058592_15_1730_g68,176.2142,1611,0,99.8759,1609,3385,1875,0.4905,111,218.72,5260,228.9979294,1.611,142.1464491,
